part_id,month,year,sday_id,dayofweek,day,wave
1216201,4,2020,2020.04.16,4,16,1
1216301,4,2020,2020.04.19,0,19,1
1216401,4,2020,2020.04.16,4,16,1
1216501,4,2020,2020.04.17,5,17,1
1216601,4,2020,2020.04.20,1,20,1
1216701,4,2020,2020.04.17,5,17,1
1216801,4,2020,2020.04.17,5,17,1
1216901,4,2020,2020.04.19,0,19,1
1217001,4,2020,2020.04.19,0,19,1
1217101,4,2020,2020.04.19,0,19,1
1217201,4,2020,2020.04.17,5,17,1
1217301,4,2020,2020.04.19,0,19,1
1217401,4,2020,2020.04.19,0,19,1
1217501,4,2020,2020.04.19,0,19,1
1217601,4,2020,2020.04.19,0,19,1
1217701,4,2020,2020.04.19,0,19,1
1217801,4,2020,2020.04.19,0,19,1
1217901,4,2020,2020.04.19,0,19,1
1218001,4,2020,2020.04.19,0,19,1
1218101,4,2020,2020.04.16,4,16,1
1218201,4,2020,2020.04.16,4,16,1
1218301,4,2020,2020.04.16,4,16,1
1218401,4,2020,2020.04.18,6,18,1
1218501,4,2020,2020.04.16,4,16,1
1218601,4,2020,2020.04.20,1,20,1
1218701,4,2020,2020.04.19,0,19,1
1218801,4,2020,2020.04.19,0,19,1
1218901,4,2020,2020.04.19,0,19,1
1219001,4,2020,2020.04.17,5,17,1
1219101,4,2020,2020.04.17,5,17,1
1219201,4,2020,2020.04.18,6,18,1
1219301,4,2020,2020.04.18,6,18,1
1219401,4,2020,2020.04.18,6,18,1
1219501,4,2020,2020.04.17,5,17,1
1219601,4,2020,2020.04.16,4,16,1
1219701,4,2020,2020.04.16,4,16,1
1219801,4,2020,2020.04.18,6,18,1
1219901,4,2020,2020.04.19,0,19,1
1220001,4,2020,2020.04.19,0,19,1
1220101,4,2020,2020.04.17,5,17,1
1220201,4,2020,2020.04.16,4,16,1
1220301,4,2020,2020.04.19,0,19,1
1220401,4,2020,2020.04.20,1,20,1
1220501,4,2020,2020.04.19,0,19,1
1220601,4,2020,2020.04.19,0,19,1
1220701,4,2020,2020.04.19,0,19,1
1220801,4,2020,2020.04.16,4,16,1
1220901,4,2020,2020.04.19,0,19,1
1221001,4,2020,2020.04.17,5,17,1
1221101,4,2020,2020.04.16,4,16,1
1221201,4,2020,2020.04.19,0,19,1
1221301,4,2020,2020.04.19,0,19,1
1221401,4,2020,2020.04.16,4,16,1
1221501,4,2020,2020.04.19,0,19,1
1221601,4,2020,2020.04.19,0,19,1
1221701,4,2020,2020.04.16,4,16,1
1221801,4,2020,2020.04.19,0,19,1
1221901,4,2020,2020.04.20,1,20,1
1222001,4,2020,2020.04.16,4,16,1
1222101,4,2020,2020.04.19,0,19,1
1222201,4,2020,2020.04.16,4,16,1
1222301,4,2020,2020.04.16,4,16,1
1222401,4,2020,2020.04.16,4,16,1
1222501,4,2020,2020.04.20,1,20,1
1222601,4,2020,2020.04.19,0,19,1
1222701,4,2020,2020.04.18,6,18,1
1222801,4,2020,2020.04.19,0,19,1
1222901,4,2020,2020.04.19,0,19,1
1223001,4,2020,2020.04.19,0,19,1
1223101,4,2020,2020.04.17,5,17,1
1223201,4,2020,2020.04.19,0,19,1
1223301,4,2020,2020.04.18,6,18,1
1223401,4,2020,2020.04.19,0,19,1
1223501,4,2020,2020.04.19,0,19,1
1223601,4,2020,2020.04.19,0,19,1
1223701,4,2020,2020.04.19,0,19,1
1223801,4,2020,2020.04.19,0,19,1
1223901,4,2020,2020.04.19,0,19,1
1224001,4,2020,2020.04.17,5,17,1
1224101,4,2020,2020.04.19,0,19,1
1224201,4,2020,2020.04.16,4,16,1
1224301,4,2020,2020.04.16,4,16,1
1224401,4,2020,2020.04.19,0,19,1
1224501,4,2020,2020.04.16,4,16,1
1224601,4,2020,2020.04.17,5,17,1
1224701,4,2020,2020.04.19,0,19,1
1224801,4,2020,2020.04.19,0,19,1
1224901,4,2020,2020.04.19,0,19,1
1225001,4,2020,2020.04.16,4,16,1
1225101,4,2020,2020.04.16,4,16,1
1225201,4,2020,2020.04.19,0,19,1
1225301,4,2020,2020.04.16,4,16,1
1225401,4,2020,2020.04.17,5,17,1
1225501,4,2020,2020.04.17,5,17,1
1225601,4,2020,2020.04.19,0,19,1
1225701,4,2020,2020.04.19,0,19,1
1225801,4,2020,2020.04.18,6,18,1
1225901,4,2020,2020.04.16,4,16,1
1226001,4,2020,2020.04.16,4,16,1
1226101,4,2020,2020.04.16,4,16,1
1226201,4,2020,2020.04.19,0,19,1
1226301,4,2020,2020.04.19,0,19,1
1226401,4,2020,2020.04.16,4,16,1
1226501,4,2020,2020.04.19,0,19,1
1226601,4,2020,2020.04.19,0,19,1
1226701,4,2020,2020.04.19,0,19,1
1226801,4,2020,2020.04.16,4,16,1
1226901,4,2020,2020.04.19,0,19,1
1227001,4,2020,2020.04.19,0,19,1
1227101,4,2020,2020.04.19,0,19,1
1227201,4,2020,2020.04.18,6,18,1
1227301,4,2020,2020.04.18,6,18,1
1227401,4,2020,2020.04.16,4,16,1
1227501,4,2020,2020.04.19,0,19,1
1227601,4,2020,2020.04.17,5,17,1
1227701,4,2020,2020.04.19,0,19,1
1227801,4,2020,2020.04.19,0,19,1
1227901,4,2020,2020.04.19,0,19,1
1228001,4,2020,2020.04.19,0,19,1
1228101,4,2020,2020.04.20,1,20,1
1228201,4,2020,2020.04.16,4,16,1
1228301,4,2020,2020.04.19,0,19,1
1228401,4,2020,2020.04.19,0,19,1
1228501,4,2020,2020.04.18,6,18,1
1228601,4,2020,2020.04.19,0,19,1
1228701,4,2020,2020.04.16,4,16,1
1228801,4,2020,2020.04.16,4,16,1
1228901,4,2020,2020.04.19,0,19,1
1229101,4,2020,2020.04.19,0,19,1
1229201,4,2020,2020.04.19,0,19,1
1229301,4,2020,2020.04.19,0,19,1
1229501,4,2020,2020.04.17,5,17,1
1229601,4,2020,2020.04.19,0,19,1
1229701,4,2020,2020.04.19,0,19,1
1229801,4,2020,2020.04.19,0,19,1
1229901,4,2020,2020.04.18,6,18,1
1230001,4,2020,2020.04.19,0,19,1
1230101,4,2020,2020.04.19,0,19,1
1230201,4,2020,2020.04.16,4,16,1
1230301,4,2020,2020.04.19,0,19,1
1230401,4,2020,2020.04.19,0,19,1
1230501,4,2020,2020.04.20,1,20,1
1230601,4,2020,2020.04.19,0,19,1
1230701,4,2020,2020.04.16,4,16,1
1230801,4,2020,2020.04.17,5,17,1
1230901,4,2020,2020.04.16,4,16,1
1231001,4,2020,2020.04.16,4,16,1
1231101,4,2020,2020.04.17,5,17,1
1231201,4,2020,2020.04.16,4,16,1
1231301,4,2020,2020.04.16,4,16,1
1231401,4,2020,2020.04.19,0,19,1
1231501,4,2020,2020.04.16,4,16,1
1231601,4,2020,2020.04.19,0,19,1
1231701,4,2020,2020.04.16,4,16,1
1231801,4,2020,2020.04.19,0,19,1
1231901,4,2020,2020.04.19,0,19,1
1232001,4,2020,2020.04.19,0,19,1
1232101,4,2020,2020.04.16,4,16,1
1232201,4,2020,2020.04.16,4,16,1
1232301,4,2020,2020.04.19,0,19,1
1232401,4,2020,2020.04.19,0,19,1
1232501,4,2020,2020.04.18,6,18,1
1232601,4,2020,2020.04.16,4,16,1
1232701,4,2020,2020.04.18,6,18,1
1232801,4,2020,2020.04.19,0,19,1
1232901,4,2020,2020.04.16,4,16,1
1233001,4,2020,2020.04.16,4,16,1
1233101,4,2020,2020.04.19,0,19,1
1233201,4,2020,2020.04.19,0,19,1
1233301,4,2020,2020.04.17,5,17,1
1233401,4,2020,2020.04.19,0,19,1
1233501,4,2020,2020.04.17,5,17,1
1233601,4,2020,2020.04.19,0,19,1
1233701,4,2020,2020.04.16,4,16,1
1233801,4,2020,2020.04.20,1,20,1
1233901,4,2020,2020.04.17,5,17,1
1234001,4,2020,2020.04.19,0,19,1
1234101,4,2020,2020.04.16,4,16,1
1234201,4,2020,2020.04.19,0,19,1
1234301,4,2020,2020.04.16,4,16,1
1234401,4,2020,2020.04.19,0,19,1
1234501,4,2020,2020.04.19,0,19,1
1234601,4,2020,2020.04.19,0,19,1
1234701,4,2020,2020.04.18,6,18,1
1234801,4,2020,2020.04.16,4,16,1
1234901,4,2020,2020.04.19,0,19,1
1235001,4,2020,2020.04.17,5,17,1
1235101,4,2020,2020.04.19,0,19,1
1235201,4,2020,2020.04.16,4,16,1
1235301,4,2020,2020.04.19,0,19,1
1235401,4,2020,2020.04.19,0,19,1
1235501,4,2020,2020.04.19,0,19,1
1235601,4,2020,2020.04.17,5,17,1
1235701,4,2020,2020.04.16,4,16,1
1235801,4,2020,2020.04.16,4,16,1
1235901,4,2020,2020.04.16,4,16,1
1236001,4,2020,2020.04.16,4,16,1
1236101,4,2020,2020.04.19,0,19,1
1236201,4,2020,2020.04.17,5,17,1
1236301,4,2020,2020.04.16,4,16,1
1236401,4,2020,2020.04.19,0,19,1
1236501,4,2020,2020.04.19,0,19,1
1236601,4,2020,2020.04.18,6,18,1
1236701,4,2020,2020.04.19,0,19,1
1236801,4,2020,2020.04.17,5,17,1
1236901,4,2020,2020.04.19,0,19,1
1237001,4,2020,2020.04.17,5,17,1
1237101,4,2020,2020.04.16,4,16,1
1237201,4,2020,2020.04.19,0,19,1
1237301,4,2020,2020.04.19,0,19,1
1237401,4,2020,2020.04.16,4,16,1
1237501,4,2020,2020.04.16,4,16,1
1237601,4,2020,2020.04.16,4,16,1
1237701,4,2020,2020.04.19,0,19,1
1237801,4,2020,2020.04.18,6,18,1
1237901,4,2020,2020.04.16,4,16,1
1238001,4,2020,2020.04.18,6,18,1
1238101,4,2020,2020.04.16,4,16,1
1238201,4,2020,2020.04.17,5,17,1
1238301,4,2020,2020.04.18,6,18,1
1238401,4,2020,2020.04.19,0,19,1
1238501,4,2020,2020.04.16,4,16,1
1238601,4,2020,2020.04.17,5,17,1
1238701,4,2020,2020.04.16,4,16,1
1238801,4,2020,2020.04.19,0,19,1
1238901,4,2020,2020.04.19,0,19,1
1239001,4,2020,2020.04.20,1,20,1
1239101,4,2020,2020.04.16,4,16,1
1239201,4,2020,2020.04.17,5,17,1
1239301,4,2020,2020.04.17,5,17,1
1239401,4,2020,2020.04.17,5,17,1
1239501,4,2020,2020.04.19,0,19,1
1239601,4,2020,2020.04.16,4,16,1
1239701,4,2020,2020.04.19,0,19,1
1239801,4,2020,2020.04.18,6,18,1
1239901,4,2020,2020.04.19,0,19,1
1240001,4,2020,2020.04.16,4,16,1
1240101,4,2020,2020.04.16,4,16,1
1240201,4,2020,2020.04.18,6,18,1
1240301,4,2020,2020.04.17,5,17,1
1240401,4,2020,2020.04.19,0,19,1
1240501,4,2020,2020.04.19,0,19,1
1240601,4,2020,2020.04.16,4,16,1
1240701,4,2020,2020.04.16,4,16,1
1240801,4,2020,2020.04.19,0,19,1
1240901,4,2020,2020.04.19,0,19,1
1241001,4,2020,2020.04.20,1,20,1
1241101,4,2020,2020.04.17,5,17,1
1241201,4,2020,2020.04.18,6,18,1
1241301,4,2020,2020.04.19,0,19,1
1241401,4,2020,2020.04.16,4,16,1
1241501,4,2020,2020.04.17,5,17,1
1241601,4,2020,2020.04.19,0,19,1
1241701,4,2020,2020.04.16,4,16,1
1241801,4,2020,2020.04.19,0,19,1
1241901,4,2020,2020.04.16,4,16,1
1242001,4,2020,2020.04.19,0,19,1
1242101,4,2020,2020.04.19,0,19,1
1242201,4,2020,2020.04.16,4,16,1
1242301,4,2020,2020.04.16,4,16,1
1242401,4,2020,2020.04.19,0,19,1
1242501,4,2020,2020.04.16,4,16,1
1242601,4,2020,2020.04.19,0,19,1
1242701,4,2020,2020.04.16,4,16,1
1242801,4,2020,2020.04.19,0,19,1
1242901,4,2020,2020.04.19,0,19,1
1243001,4,2020,2020.04.16,4,16,1
1243101,4,2020,2020.04.16,4,16,1
1243201,4,2020,2020.04.16,4,16,1
1243301,4,2020,2020.04.19,0,19,1
1243401,4,2020,2020.04.19,0,19,1
1243501,4,2020,2020.04.18,6,18,1
1243601,4,2020,2020.04.17,5,17,1
1243701,4,2020,2020.04.18,6,18,1
1243801,4,2020,2020.04.18,6,18,1
1243901,4,2020,2020.04.19,0,19,1
1244001,4,2020,2020.04.19,0,19,1
1244101,4,2020,2020.04.18,6,18,1
1244201,4,2020,2020.04.17,5,17,1
1244301,4,2020,2020.04.16,4,16,1
1244401,4,2020,2020.04.16,4,16,1
1244501,4,2020,2020.04.16,4,16,1
1244601,4,2020,2020.04.19,0,19,1
1244701,4,2020,2020.04.17,5,17,1
1244801,4,2020,2020.04.19,0,19,1
1244901,4,2020,2020.04.19,0,19,1
1245001,4,2020,2020.04.19,0,19,1
1245101,4,2020,2020.04.16,4,16,1
1245201,4,2020,2020.04.19,0,19,1
1245301,4,2020,2020.04.19,0,19,1
1245401,4,2020,2020.04.16,4,16,1
1245501,4,2020,2020.04.18,6,18,1
1245601,4,2020,2020.04.16,4,16,1
1245701,4,2020,2020.04.16,4,16,1
1245801,4,2020,2020.04.16,4,16,1
1245901,4,2020,2020.04.19,0,19,1
1246001,4,2020,2020.04.17,5,17,1
1246101,4,2020,2020.04.19,0,19,1
1246201,4,2020,2020.04.18,6,18,1
1246301,4,2020,2020.04.17,5,17,1
1246401,4,2020,2020.04.19,0,19,1
1246501,4,2020,2020.04.16,4,16,1
1246601,4,2020,2020.04.17,5,17,1
1246701,4,2020,2020.04.16,4,16,1
1246801,4,2020,2020.04.16,4,16,1
1246901,4,2020,2020.04.19,0,19,1
1247001,4,2020,2020.04.16,4,16,1
1247101,4,2020,2020.04.19,0,19,1
1247201,4,2020,2020.04.16,4,16,1
1247301,4,2020,2020.04.16,4,16,1
1247401,4,2020,2020.04.17,5,17,1
1247501,4,2020,2020.04.19,0,19,1
1247601,4,2020,2020.04.19,0,19,1
1247701,4,2020,2020.04.20,1,20,1
1247801,4,2020,2020.04.19,0,19,1
1247901,4,2020,2020.04.16,4,16,1
1248001,4,2020,2020.04.19,0,19,1
1248101,4,2020,2020.04.20,1,20,1
1248201,4,2020,2020.04.19,0,19,1
1248301,4,2020,2020.04.16,4,16,1
1248401,4,2020,2020.04.16,4,16,1
1248501,4,2020,2020.04.19,0,19,1
1248601,4,2020,2020.04.16,4,16,1
1248701,4,2020,2020.04.19,0,19,1
1248801,4,2020,2020.04.19,0,19,1
1248901,4,2020,2020.04.19,0,19,1
1249001,4,2020,2020.04.19,0,19,1
1249101,4,2020,2020.04.16,4,16,1
1249201,4,2020,2020.04.19,0,19,1
1249301,4,2020,2020.04.19,0,19,1
1249401,4,2020,2020.04.18,6,18,1
1249501,4,2020,2020.04.16,4,16,1
1249601,4,2020,2020.04.16,4,16,1
1249701,4,2020,2020.04.19,0,19,1
1249801,4,2020,2020.04.16,4,16,1
1249901,4,2020,2020.04.19,0,19,1
1250001,4,2020,2020.04.17,5,17,1
1250101,4,2020,2020.04.19,0,19,1
1250201,4,2020,2020.04.16,4,16,1
1250301,4,2020,2020.04.16,4,16,1
1250401,4,2020,2020.04.16,4,16,1
1250501,4,2020,2020.04.19,0,19,1
1250601,4,2020,2020.04.18,6,18,1
1250701,4,2020,2020.04.16,4,16,1
1250801,4,2020,2020.04.19,0,19,1
1250901,4,2020,2020.04.19,0,19,1
1251001,4,2020,2020.04.18,6,18,1
1251101,4,2020,2020.04.18,6,18,1
1251201,4,2020,2020.04.18,6,18,1
1251301,4,2020,2020.04.19,0,19,1
1251401,4,2020,2020.04.16,4,16,1
1251501,4,2020,2020.04.16,4,16,1
1251601,4,2020,2020.04.16,4,16,1
1251701,4,2020,2020.04.19,0,19,1
1251801,4,2020,2020.04.18,6,18,1
1251901,4,2020,2020.04.16,4,16,1
1252001,4,2020,2020.04.19,0,19,1
1252101,4,2020,2020.04.16,4,16,1
1252201,4,2020,2020.04.16,4,16,1
1252301,4,2020,2020.04.16,4,16,1
1252401,4,2020,2020.04.19,0,19,1
1252501,4,2020,2020.04.17,5,17,1
1252601,4,2020,2020.04.19,0,19,1
1252701,4,2020,2020.04.16,4,16,1
1252801,4,2020,2020.04.16,4,16,1
1252901,4,2020,2020.04.16,4,16,1
1253001,4,2020,2020.04.19,0,19,1
1253101,4,2020,2020.04.17,5,17,1
1253201,4,2020,2020.04.17,5,17,1
1253301,4,2020,2020.04.17,5,17,1
1253401,4,2020,2020.04.19,0,19,1
1253501,4,2020,2020.04.19,0,19,1
1253601,4,2020,2020.04.16,4,16,1
1253701,4,2020,2020.04.17,5,17,1
1253801,4,2020,2020.04.16,4,16,1
1253901,4,2020,2020.04.19,0,19,1
1254001,4,2020,2020.04.17,5,17,1
1254101,4,2020,2020.04.19,0,19,1
1254201,4,2020,2020.04.20,1,20,1
1254301,4,2020,2020.04.16,4,16,1
1254401,4,2020,2020.04.19,0,19,1
1254501,4,2020,2020.04.16,4,16,1
1254601,4,2020,2020.04.17,5,17,1
1254701,4,2020,2020.04.16,4,16,1
1254801,4,2020,2020.04.17,5,17,1
1254901,4,2020,2020.04.19,0,19,1
1255001,4,2020,2020.04.19,0,19,1
1255101,4,2020,2020.04.16,4,16,1
1255201,4,2020,2020.04.17,5,17,1
1255301,4,2020,2020.04.19,0,19,1
1255401,4,2020,2020.04.16,4,16,1
1255501,4,2020,2020.04.16,4,16,1
1255601,4,2020,2020.04.19,0,19,1
1255701,4,2020,2020.04.18,6,18,1
1255801,4,2020,2020.04.19,0,19,1
1255901,4,2020,2020.04.18,6,18,1
1256001,4,2020,2020.04.17,5,17,1
1256101,4,2020,2020.04.19,0,19,1
1256201,4,2020,2020.04.19,0,19,1
1256301,4,2020,2020.04.18,6,18,1
1256401,4,2020,2020.04.18,6,18,1
1256501,4,2020,2020.04.16,4,16,1
1256601,4,2020,2020.04.16,4,16,1
1256701,4,2020,2020.04.16,4,16,1
1256801,4,2020,2020.04.16,4,16,1
1256901,4,2020,2020.04.19,0,19,1
1257001,4,2020,2020.04.17,5,17,1
1257101,4,2020,2020.04.16,4,16,1
1257201,4,2020,2020.04.17,5,17,1
1257301,4,2020,2020.04.16,4,16,1
1257401,4,2020,2020.04.17,5,17,1
1257501,4,2020,2020.04.16,4,16,1
1257601,4,2020,2020.04.19,0,19,1
1257701,4,2020,2020.04.16,4,16,1
1257801,4,2020,2020.04.16,4,16,1
1257901,4,2020,2020.04.17,5,17,1
1258001,4,2020,2020.04.16,4,16,1
1258101,4,2020,2020.04.16,4,16,1
1258201,4,2020,2020.04.18,6,18,1
1258301,4,2020,2020.04.16,4,16,1
1258401,4,2020,2020.04.17,5,17,1
1258501,4,2020,2020.04.17,5,17,1
1258601,4,2020,2020.04.19,0,19,1
1258701,4,2020,2020.04.20,1,20,1
1258801,4,2020,2020.04.19,0,19,1
1258901,4,2020,2020.04.19,0,19,1
1259001,4,2020,2020.04.17,5,17,1
1259101,4,2020,2020.04.16,4,16,1
1259201,4,2020,2020.04.16,4,16,1
1259301,4,2020,2020.04.19,0,19,1
1259401,4,2020,2020.04.19,0,19,1
1259501,4,2020,2020.04.19,0,19,1
1259601,4,2020,2020.04.16,4,16,1
1259701,4,2020,2020.04.18,6,18,1
1259801,4,2020,2020.04.19,0,19,1
1259901,4,2020,2020.04.18,6,18,1
1260001,4,2020,2020.04.18,6,18,1
1260101,4,2020,2020.04.16,4,16,1
1260201,4,2020,2020.04.19,0,19,1
1260301,4,2020,2020.04.16,4,16,1
1260401,4,2020,2020.04.16,4,16,1
1260501,4,2020,2020.04.19,0,19,1
1260601,4,2020,2020.04.17,5,17,1
1260701,4,2020,2020.04.19,0,19,1
1260801,4,2020,2020.04.17,5,17,1
1260901,4,2020,2020.04.16,4,16,1
1261001,4,2020,2020.04.20,1,20,1
1261101,4,2020,2020.04.17,5,17,1
1261201,4,2020,2020.04.16,4,16,1
1261301,4,2020,2020.04.18,6,18,1
1261401,4,2020,2020.04.19,0,19,1
1261501,4,2020,2020.04.16,4,16,1
1261601,4,2020,2020.04.19,0,19,1
1261701,4,2020,2020.04.19,0,19,1
1261801,4,2020,2020.04.17,5,17,1
1261901,4,2020,2020.04.17,5,17,1
1262001,4,2020,2020.04.19,0,19,1
1262101,4,2020,2020.04.19,0,19,1
1262201,4,2020,2020.04.19,0,19,1
1262301,4,2020,2020.04.18,6,18,1
1262401,4,2020,2020.04.17,5,17,1
1262501,4,2020,2020.04.16,4,16,1
1262601,4,2020,2020.04.18,6,18,1
1262701,4,2020,2020.04.17,5,17,1
1262801,4,2020,2020.04.17,5,17,1
1262901,4,2020,2020.04.16,4,16,1
1263001,4,2020,2020.04.16,4,16,1
1263101,4,2020,2020.04.18,6,18,1
1263201,4,2020,2020.04.20,1,20,1
1263301,4,2020,2020.04.16,4,16,1
1263401,4,2020,2020.04.16,4,16,1
1263501,4,2020,2020.04.19,0,19,1
1263601,4,2020,2020.04.19,0,19,1
